point name,latitude,longitude
cop-target1,34.4082988202,-119.879992097
cop-target10,34.4086234831,-119.880325
cop-target2,34.4083427222,-119.879956611
cop-target3,34.4083666667,-119.880078485
cop-target4,34.4084121648,-119.88008
cop-target5,34.4084133333,-119.88016
cop-target6,34.4085056852,-119.88014187
cop-target7,34.4085033333,-119.880202519
cop-target8,34.4085845349,-119.880218062
cop-target9,34.4085631703,-119.880342319
