WGS84 UTM 10N		
786791.731407357	3811843.94849626	0	3483	729	  IMG_0031.jpg
786794.844430210	3811848.91972532	0	731 	1017	IMG_0031.jpg
786783.555899586	3811851.23106561	0	3608	2292	IMG_0037.jpg
786783.261111279	3811856.27457356	0	2040	1017	IMG_0046.jpg
786775.900867636	3811856.17763312	0	3472	1002	IMG_0052.jpg
786777.252392357	3811866.47498740	0	1472	1110	IMG_0067.jpg
786771.683569887	3811866.04228478	0	3910	916	  IMG_0073.jpg
786769.976867472	3811875.00719730	0	2020	2148	IMG_0073.jpg
786758.624073914	3811872.28498665	0	3407	995	  IMG_0088.jpg
786760.010517354	3811879.02545442	0	1082	764	  IMG_0091.jpg
